X,Y,Z
35,2,212.57105
36,2,181.10091
37,2,179.07284
38,2,204.48201
39,2,270.60632
40,2,328.5843
41,2,376.35852
42,2,359.19924
43,2,350.11047
44,2,351.21393
45,2,380.33161
46,2,426.31546
47,2,498.59535
48,2,567.32521
49,2,561.15429
50,2,498.72799
51,2,453.75789
52,2,440.50146
53,2,448.0883
54,2,471.92692
55,2,491.81569
56,2,463.46604
57,2,450.56679
58,2,444.30324
59,2,425.98041
60,2,373.34283
61,2,321.84953
62,2,270.67911
63,2,237.17175
64,2,224.54294
65,2,237.10496
66,2,257.16077
67,2,212.05873
68,2,140.30041
69,2,87.080413
70,2,72.995844
71,2,91.115269
72,2,143.39503
73,2,146.33643
74,2,88.605249
75,2,60.200069
76,2,59.569141
77,2,84.331818
78,2,147.17963
79,2,229.59941
80,2,284.19524
81,2,288.49053
82,2,287.34648
83,2,306.46689
84,2,358.83617
85,2,429.97738
86,2,461.41867
87,2,473.95286
88,2,487.02219
89,2,511.79826
90,2,494.76713
91,2,456.71602
92,2,413.69908
93,2,376.82234
94,2,367.85969
95,2,377.10469
96,2,379.06085
97,2,388.86491
98,2,411.24249
99,2,412.97941
0,3,317.99061
1,3,321.12341
2,3,350.2166
3,3,403.94616
4,3,470.37842
5,3,504.01058
6,3,514.58301
7,3,475.59137
8,3,451.52603
9,3,440.8267
10,3,399.64476
11,3,347.17883
12,3,314.24119
13,3,279.80498
14,3,231.33096
15,3,167.73213
16,3,120.05777
17,3,93.585738
18,3,73.101742
19,3,53.990096
20,3,37.623937
21,3,21.939056
22,3,18.839923
23,3,34.078894
24,3,81.735303
25,3,107.21925
26,3,125.351
27,3,167.08096
28,3,242.27898
29,3,282.60919
30,3,275.24473
31,3,263.44185
32,3,272.70382
33,3,304.5537
34,3,307.62985
35,3,247.19801
36,3,212.67581
37,3,208.11198
38,3,230.73807
39,3,286.77425
40,3,364.60457
41,3,419.57516
42,3,420.07295
43,3,397.37236
44,3,390.43256
45,3,409.00091
46,3,438.4753
47,3,501.59149
48,3,564.39378
49,3,558.38139
50,3,517.77885
51,3,499.51142
52,3,502.39044
53,3,506.16462
54,3,523.07165
55,3,553.81082
56,3,560.73347
57,3,552.34902
58,3,516.2545
59,3,447.12812
60,3,384.76241
61,3,335.23503
62,3,287.01351
63,3,265.55825
64,3,266.64641
65,3,281.46215
66,3,277.03672
67,3,210.93967
68,3,136.29817
69,3,100.56145
70,3,100.20083
71,3,132.98573
72,3,183.20902
73,3,169.29099
74,3,112.02085
75,3,86.552393
76,3,86.492537
77,3,108.84347
78,3,160.87949
79,3,235.07011
80,3,305.88074
81,3,357.37692
82,3,363.3752
83,3,363.8143
84,3,384.66164
85,3,415.37484
86,3,401.92689
87,3,389.73779
88,3,396.30321
89,3,428.11594
90,3,459.13241
91,3,488.26294
92,3,448.99805
93,3,378.62222
94,3,340.61131
95,3,330.79896
96,3,334.07202
97,3,351.76719
98,3,364.69013
99,3,340.36288
0,4,288.31076
1,4,314.70394
2,4,366.50508
3,4,428.60193
4,4,460.48123
5,4,457.46191
6,4,451.98112
7,4,448.84494
8,4,458.2953
9,4,472.22752
10,4,426.56983
11,4,393.51459
12,4,371.53461
13,4,325.23862
14,4,250.79292
15,4,180.05627
16,4,132.37259
17,4,103.85337
18,4,79.145761
19,4,55.065486
20,4,37.598632
21,4,27.150126
22,4,25.6322
23,4,30.537762
24,4,50.264266
25,4,63.766852
26,4,84.828286
27,4,140.61404
28,4,223.76158
29,4,261.69133
30,4,254.35971
31,4,254.13398
32,4,285.22662
33,4,355.35588
34,4,378.9594
35,4,318.17994
36,4,266.1535
37,4,244.16253
38,4,248.44635
39,4,279.97545
40,4,337.76202
41,4,406.83548
42,4,446.1636
43,4,454.85322
44,4,455.43124
45,4,461.64086
46,4,476.04312
47,4,518.09931
48,4,567.90263
49,4,582.15097
50,4,579.29697
51,4,583.99482
52,4,602.54386
53,4,594.30792
54,4,600.72164
55,4,629.42929
56,4,666.62089
57,4,652.99599
58,4,568.9491
59,4,477.85255
60,4,414.30171
61,4,361.8318
62,4,339.63881
63,4,314.38242
64,4,294.97932
65,4,262.20676
66,4,234.75407
67,4,182.93942
68,4,135.77549
69,4,122.05472
70,4,139.60119
71,4,196.16398
72,4,222.18063
73,4,188.2232
74,4,141.80864
75,4,118.15872
76,4,116.64749
77,4,130.66652
78,4,167.93044
79,4,227.25173
80,4,306.47377
81,4,389.13745
82,4,422.34132
83,4,412.34328
84,4,407.43692
85,4,383.98734
86,4,351.93738
87,4,322.99706
88,4,322.71313
89,4,355.65297
90,4,425.96414
91,4,490.75194
92,4,462.06672
93,4,392.10694
94,4,336.76183
95,4,308.57162
96,4,299.01968
97,4,298.79211
98,4,297.21239
99,4,285.82376
0,5,272.31035
1,5,315.68751
2,5,377.60558
3,5,399.08597
4,5,390.02829
5,5,370.34273
6,5,368.21861
7,5,391.62741
8,5,445.40451
9,5,479.28722
10,5,431.43164
11,5,398.87681
12,5,378.77299
13,5,334.95415
14,5,258.34368
15,5,199.7951
16,5,166.72278
17,5,128.04821
18,5,84.685684
19,5,57.751022
20,5,43.985222
21,5,41.70669
22,5,44.872816
23,5,39.168004
24,5,41.223715
25,5,47.35237
26,5,62.264736
27,5,106.945
28,5,190.42244
29,5,200.47222
30,5,197.97759
31,5,217.45724
32,5,275.06098
33,5,357.70489
34,5,400.75431
35,5,363.05254
36,5,332.11551
37,5,298.91699
38,5,281.5699
39,5,287.60237
40,5,319.52616
41,5,370.11325
42,5,421.39245
43,5,466.63892
44,5,503.50993
45,5,519.49812
46,5,526.19117
47,5,545.41842
48,5,589.35572
49,5,640.65663
50,5,676.30071
51,5,689.22569
52,5,700.76195
53,5,690.20481
54,5,697.68297
55,5,720.54089
56,5,736.35262
57,5,714.07215
58,5,624.00245
59,5,534.31391
60,5,464.84268
61,5,441.18846
62,5,436.64154
63,5,365.77424
64,5,295.50832
65,5,245.61428
66,5,211.81212
67,5,175.30412
68,5,150.91682
69,5,151.54134
70,5,179.10985
71,5,237.93684
72,5,262.93984
73,5,206.04385
74,5,165.35884
75,5,155.14687
76,5,164.20075
77,5,176.03578
78,5,193.11269
79,5,229.64716
80,5,299.20608
81,5,378.5383
82,5,385.12746
83,5,350.26722
84,5,333.04915
85,5,310.24646
86,5,278.72343
87,5,265.17436
88,5,277.69817
89,5,321.29393
90,5,392.4739
91,5,446.24488
92,5,449.10821
93,5,424.11477
94,5,357.7298
95,5,307.87883
96,5,279.47494
97,5,264.32455
98,5,260.55655
99,5,256.28055
0,6,245.95962
1,6,288.78199
2,6,331.41332
3,6,342.18934
4,6,314.48944
5,6,302.3161
6,6,316.6428
7,6,366.69369
8,6,445.54356
9,6,485.67685
10,6,426.62368
11,6,371.62131
12,6,345.11254
13,6,320.12611
14,6,266.85777
15,6,233.12016
16,6,198.96095
17,6,126.93547
18,6,82.924896
19,6,64.152246
20,6,62.290249
21,6,74.916564
22,6,90.670559
23,6,73.000248
24,6,61.684526
25,6,54.479579
26,6,56.144937
27,6,73.026655
28,6,110.23844
29,6,132.28726
30,6,153.58803
31,6,200.35076
32,6,271.84472
33,6,333.11239
34,6,359.33291
35,6,358.57159
36,6,372.15659
37,6,372.18408
38,6,341.18642
39,6,321.65858
40,6,329.85979
41,6,363.71861
42,6,414.81831
43,6,473.30798
44,6,532.38265
45,6,578.87027
46,6,593.85715
47,6,597.66994
48,6,621.62611
49,6,686.15988
50,6,768.6836
51,6,784.65617
52,6,773.79165
53,6,730.8367
54,6,705.58938
55,6,695.55103
56,6,698.6614
57,6,709.14653
58,6,700.46071
59,6,604.1938
60,6,540.30218
61,6,515.74773
62,6,455.74924
63,6,355.42602
64,6,288.01359
